NCTR-60WIFI,온도조절기,귀뚜라미,고정형,wifi,조건수집,장치제어,온도감지/모드/설정온도/상태/알람/동작예약시간,iX,0,액츄에이터,1,42.66666667
미로 맑음 공기청정기,공기청정기,미로,고정형,wifi,상시수집,공기질감지/모니터링/음성제어,실내공기오염정보/온도/습도/조도/유해가스,iX,1,액츄에이터,1,45.16666667
윈마이 프리미엄2,체중계,윈마이,고정형,wifi/ bluetooth,조건수집,생체정보감지/모니터링,단백질/Bmi/골격량/기초대사량/체중/수분량/신체나이/근육량/체지방/내장지방/지방무게/지방외체중/체형/신체점수/비만등급/권장체중/체지방지수,iX,1,스마트장비,1,47.0
샤오미 도어 감지 센서,센서,샤오미,고정형,wifi,상시수집,출입감지,문열림감지,iX,0,센서,0,31.83333333
샤오미 동작 감지 센서,센서,샤오미,고정형,wifi,상시수집,출입감지,움직임감지,행태정보,1,센서,0,36.83333333
샤오미 스마트 플러그,플러그,샤오미,이동형,wifi,상시수집,음성제어/장치제어,전력사용량,사용패턴,1,스마트장비,0,54.0
샤오미 화재경보기,센서,샤오미,고정형,wifi,상시수집,공기질감지/모니터링,연기농도/산소농도,iX,0,센서,0,31.83333333
Mi 공기청정기 3H,공기청정기,샤오미,고정형,wifi,조건수집,공기질감지/모니터링,램프등/모드/미세먼지농도,iX,0,액츄에이터,1,42.66666667
NR08G IoT,가습기,미로,고정형,wifi/ bluetooth,조건수집,습도감지/모니터링/장치제어/음성제어,습도/램프등/색온도,iX,0,센서/액츄에이터,0,37.66666667
노비타 IOT 방수비데,비데,노비타,고정형,wifi,X,장치제어,알람/동작여부,iX,0,액츄에이터,0,35.16666667
윈코 WW-A1 스마트 AI 가습기,가습기,윈코,고정형,wifi,상시수집,장치제어/음성제어,습도/램프등/타이머/모드/분무량,iX,0,센서/액츄에이터,0,40.16666667
라돈아이플러스2 측정기,라돈측정기,애프티랩,고정형,wifi/ bluetooth,상시수집,모니터링,라돈/기온,iX,0,센서,1,36.83333333
스마트 2K 홈카메라 웹캠 CCTV 플랫폼 Pro,카메라,샤오미,고정형,wifi/ bluetooth,상시수집,녹화/녹음/음성제어,움직임감지/음성/영상/조도/모드,행태정보,1,스마트장비,0,49.5
치후360 베이비홈캠 D706 홈,카메라,샤오미,고정형,wifi,상시수집,녹화/녹음/음성제어,움직임감지/음성/영상/조도/모드,행태정보,1,스마트장비,0,49.5
그린솔루션 펭카,카메라,펭카,고정형,wifi,상시수집,녹화/녹음/음성제어,움직임감지/음성/영상/조도/모드,행태정보,1,스마트장비,0,49.5
주연테크 300만화소 스마트폰 지능형 가정용 홈CCTV 감시카메라 IP 유선 무선 와이파이 홈캠,카메라,주연테크,고정형,wifi,상시수집,녹화/음성제어,움직임감지/영상/조도/모드,행태정보,1,스마트장비,0,49.5
큐씨피 움직임추적 200만 무선 CCTV IP 카메라 가정용 홈 캠 강아지 반려동물 펫,카메라,QCP,고정형,wifi,상시수집,녹화/녹음/음성제어,움직임감지/음성/영상/조도/모드,행태정보,1,스마트장비,0,49.5
이글루캠 라이트,카메라,트루엔,고정형,wifi,상시수집,녹화/녹음/음성제어,움직임감지/음성/영상/조도/모드,행태정보,1,스마트장비,0,49.5
로보뷰2,카메라,로보뷰,고정형,wifi,상시수집,녹화/녹음/음성제어,움직임감지/이미지/음성,행태정보,1,스마트장비,0,49.5
앱봇 라일리,카메라,바램시스템,이동형,wifi,상시수집,녹화/녹음/음성제어,움직임감지/음성/영상/조도/모드,행태정보,1,스마트장비,0,62.0
홈네트워크 카메라 C6C,카메라,EZVIZ,고정형,wifi,상시수집,녹화/녹음/음성제어,움직임감지/음성/영상/조도/모드,행태정보,1,스마트장비,0,49.5
홈네트워크 카메라 C6T,카메라,EZVIZ,고정형,wifi,상시수집,녹화/녹음/음성제어,움직임감지/음성/영상/조도/모드,행태정보,1,스마트장비,0,49.5
와이즈넷 홈카메라,카메라,한화테크윈,고정형,wifi,상시수집,녹화/녹음/음성제어,움직임감지/음성/영상/조도/모드,행태정보,1,스마트장비,0,49.5
미키마우스  CCTV,카메라,한화테크윈,고정형,wifi,상시수집,녹화/녹음/음성제어,움직임감지/음성/영상/조도/모드,행태정보,1,스마트장비,0,49.5
Pan&Tilt Wi-Fi 홈카메라,카메라,한화테크윈,고정형,wifi,상시수집,녹화/녹음/음성제어,움직임감지/음성/영상/조도/모드,행태정보,1,스마트장비,0,49.5
imou 홈CCTV,카메라,다화,고정형,wifi,상시수집,녹화/녹음/음성제어,움직임감지/음성/영상/조도/모드,행태정보,1,스마트장비,0,49.5
